Title,Publication Date,Content,Newspaper Name
Ankita Lokhande reveals Vicky Jain left her when they wanted to get married: 'He thought he needed a girl from Bilaspur',"Feb 27, 2024, 23:48 IST","Ankita Lokhande recently opened up about the early stages of her relationship with husband Vicky Jain and revealed that Vicky was initially reluctant to tie the knot due to their differing lifestyles.
The couple shared their candid revelations during a guest appearance on the podcast hosted by Bharti Singh and Haarsh Limbachiyaa. Detailing the hurdles they faced, Ankita disclosed, ""We wanted to get married but Vicky got scared of me and left. He said he couldn’t marry me at that time because our lifestyles were very different. He lived in Bilaspur, and I lived here, and he thought he needed a girl from Bilaspur.""
Contrary to Ankita's narrative, Vicky offered his perspective and revealed, ""She didn't let me speak, so I couldn't express myself. I believe there should be a right time, and at that time, Ankita was in a state of mind where she wanted to get married, and I was in a state of mind where I wanted to get married, and at that time, we met.""
Watch: Vicky Jain's sweet gesture towards Ankita Lokhande

SPONSORED LINKS 
YOU MAY LIKE
Hackers can take over your account - This is what you can do
Kaspersky
  by Taboola 
In 2019, Ankita publicly declared her love for Vicky. On December 14, 2021, Ankita and Vicky exchanged vows in a beautiful ceremony in Mumbai, marking the beginning of a new chapter in their lives.

Their bond was put to the test when they decided to participate together in the Salman Khan hosted reality show Bigg Boss 17. Ankita and Vicky encountered disagreements and misunderstandings, but they emerged stronger and reaffirmed their commitment to each other as a married couple.",Times Of India
Kundali Bhagya's Twinkle Vasisht kick-starts her wedding festivities with choodiyan ceremony; watch,"Feb 28, 2024, 00:00 IST","Kundali Bhagya actress Twinkle Vasisht, who had a roka ceremony last year in August, is all set to get married to her fiancé Harsh Tuli. Twinkle fell in love with corporate professional Harsh and the couple had their roka ceremony on August 23 in Ahmedabad last year. The actress now gears up for her wedding and she kick-started her wedding festivities with a choodiyan ceremony.
She shared a series of videos and photos from the ceremony on her Instagram stories. She also shared a video in which she can be seen beautifully dressed in a pink-white lehenga.
View this post on Instagram
A post shared by ⭐️Twinkle R Vasisht⭐️ (@twinkle_vasisht)

Twinkle kept her look simple with minimal makeup and kept her hair open. She wore a tiara in her hair and a diamond choker. She looked beautiful at her special occasion. The actress was surrounded by close friends and family. Twinkle's family resides in Ahmedabad, while her fiancé Harsh is based in Delhi. Twinkle has been in a relationship for the past five years with Harsh and met in Mumbai a few years ago. The couple was apparently in a long-distance relationship.


Twinkle shares a close bond with her Kundali Bhagya cast and they are expected to join her functions in Rajasthan.
On the work front, Twinkle has been a part of Kundali Bhagya for the last few years. Additionally, she had a cameo appearance in Alibaba: Daastan-E-Kabul back in January last year.
In an earlier interview upon joining the cast of Alibaba, Twinkle expressed her desire to explore something different, such as a supernatural or fantasy/fiction show. She found her role as a Goddess in Alibaba to be challenging and mentioned having an important scene with Sheezan Khan, a friend of hers. However, she noted that she would now be sharing screen space with Abhishek Nigam, who replaced Sheezan Khan in the show.
Nehha Pendse: I was a vegetarian but due to health issues, had to start eating eggs and chicken",Times Of India
Won't allow child marriage as long as I'm alive: Assam CM Himanta Biswa Sarma,"Updated: Feb 27, 2024, 11:11 IST","GUWAHATI: Assam chief minister Himanta Biswa Sarma said in the assembly on Monday that he will not allow any child marriage in the state as long as he is alive.
""I want to make it loud and clear that till the time I am there, I will not allow you (Opposition) to play with the future of innocent Muslim children. I will bring an end to this exploitative business and will not allow a single child marriage to take place in Assam.""
He added, ""We will completely close the shop that you people have opened to ruin the daughters of the Muslim community by 2026.""
The CM made these statements after the All India United Democratic Front (AIUDF) and the Congress wanted to bring an adjournment motion in the House over the recent state cabinet decision to repeal the ""Assam Muslim Marriages and Divorces Registration Act"".

SPONSORED LINKS 
YOU MAY LIKE
Hackers can take over your account - This is what you can do
Kaspersky
  by Taboola 
A IUDF MLA Karim Uddin Barbhuiya pleaded with speaker Biswajit Daimary to allow the adjournment motion on the decision to repeal the “Assam Muslim Marriages and Divorces Registration Act”. However, the speaker rejected it saying the matter is yet to be brought in the House.
This was also supported by Congress members of the House. Leader of the Opposition in the assembly and senior Congress leader, Debabrata Saikia, said the House should have been informed before taking any cabinet decision at a time when a session is undergoing. Responding to this, CM Sarma said, “We have not done anything outside the rule.
The rule is that a bill is first approved in the cabinet and then introduced in the House. We want to repeal the Act because it has provision of child marriage. A cabinet decision has been taken. The bill is yet to be introduced in the House.” Following this, the Congress MLAs walked out of the assembly, while the AIUDF MLAs staged a sit-in before the speaker.
Explore Your Financial Landscape with Personalized Credit Insights.",Times Of India
"Rohit Sharma is the next MS Dhoni, says Suresh Raina","Updated: Feb 27, 2024, 12:36 IST","NEW DELHI: No Mohammed Shami? No problem. No Virat Kohli? No problem either. India captain Rohit Sharma led a young Team India to a series-clinching win in Ranchi.
India defeated England by 5 wickets in a thrilling contest in the fourth Test to take an unassailable 3-1 lead. The fifth and the last Test match will be played in Dharamsala from March 7.
In the absence of premier pacer Shami, star batsman Virat, and middle order star Shreyas Iyer, Rohit showed confidence in the newcomers by handing Test debuts to Sarfaraz Khan, Dhruv Jurel, and pacer Akash Deep.


SPONSORED LINKS 
YOU MAY LIKE
Hackers can take over your account - This is what you can do
Kaspersky
  by Taboola 
India pulled off a tricky chase of 192 on day four in Ranchi, with wicketkeeper-batsman Jurel (39) and Shubman Gill (52) sharing an unbeaten stand of 72.
Man-of-the-match Jurel, who debuted in the Rajkot Test, made a significant impact by scoring 90 runs, rescuing India from a precarious position of 177 for 7 in the first innings to a total of 307 on day three.
India vs England 4th Test: India beat England, secure 17th straight Test series win at home

Opener Yashasvi Jaiswal emerged as the standout performer, amassing 655 runs in four matches, including two double centuries in the second and third Test matches.

Bengal pacer Akash Deep made an immediate impression on his debut, unsettling England with three wickets on the opening day of the Ranchi Test. Akash Deep was included in the playing eleven after pace spearhead Jasprit Bumrah was rested.
Middle-order batsman Sarfaraz Khan also impressed on debut in Rajkot when he scored 62 and 68 not out in India's 434-run hammering of England.

Former India cricketer Suresh Raina hailed captain Rohit for his brilliant calls and for using young players in the Test series against England.
TimesofIndia.com caught up with Raina, who is representing Uttar Pradesh in the Indian Veteran Premier League (IVPL), and spoke about Rohit's captaincy, Juel's knock, MS Dhoni, and much more...
Rohit Sharma used his young players really well in the series...
He is the next MS Dhoni. He has done well. He has been giving a lot of chances to youngsters the way MS Dhoni did. I played a lot of cricket under MS Dhoni. Sourav Ganguly supported his team a lot. Then MS Dhoni came and led from the front. Rohit is going in the right direction. He is a brilliant captain.
On Dhruv Jurel, the Man of the Match...
I have played matches with Jurel for Uttar Pradesh. I want to give credit to Rohit Sharma. He first gave Sarfaraz the chance and then made Jurel part of the team. Jurel was just amazing. He played a superb knock in the first innings and then in the second. I am rating his knock special because the wicket was turning and he batted beautifully. He is so calm and composed. That's the best part of him. I am really impressed with his wicketkeeping. He was just amazing behind the wickets. He has got that fearless attitude since he comes from an Army family. He has worked hard for this. I have seen him working so hard at the nets. I just want to wish him all the best.


Akash Deep was phenomenal in the debut Test. Your comments?
He has bowled really well. He came from Bihar and represented Bengal then. It was quite a journey and in the end all his hard work paid off. Rohit has been amazing with his planning. He has been giving a lot of chances to the youngsters. The way he is rotating the players is something I have never seen in the last couple of years. Whenever the fast bowlers came in the last couple of years, we have seen injuries. But Rohit has been managing that really well. Being a captain is not easy, especially when you are playing in India. Earlier, we used to have one fast bowler and 3-4 spinners. Now, he is bringing two fast bowlers. He brought in Siraj and Bumrah. He sent Bumrah back and managed his workload well and then handed debut to Akash Deep. Rohit has been handling the pressure and players really well.

Will this be MS Dhoni's last IPL?
I have no idea about this. But he is working really hard. He is looking really fit. This is up to him. He will be in a yellow jersey and entertain the fans. Fans just love him. He will do really well I am sure. He has given a lot to cricket.
On RCB's IPL trophy drought...
Virat deserves a trophy. He has done so well for the Indian team and RCB for years. He has had a lot of success at RCB and his fans deserve to hold a trophy for him.
Explore Your Financial Landscape with Personalized Credit Insights.",Times Of India
"Apple Arcade reeks ""smell of death,"" say game developers","Updated: Feb 27, 2024, 18:27 IST","The future of Apple's gaming subscription service, Apple Arcade, looks uncertain according to several mobile game developers who recently spoke to MobileGamer.biz. They report declining financial incentives, cancelled projects, opaque communications, and increasing confusion around Apple's long-term strategy for the platform.
Initially welcomed as a potential boon for premium mobile gaming, Arcade began facing troubles as payouts reportedly dropped and Apple severed ties with numerous original game studios mid-development during a strategy shift toward licensed family titles.
Insider whispers point to a possible reboot, but some question whether gaming can get requisite Apple leadership attention to succeed long-term.

Arcade strategy shift caught devs by surprise
Developers say that when Arcade launched back in September 2019, upfront payments were ""very generous,"" and revenue share arrangements after that were also lucrative enough that most, if not all, games released on the platform in the first couple of years were profitable straight out of the gate. Apple Arcade was seen as a lifeline for many smaller studios specialising in so-called ""premium"" games without free-to-play monetization elements.
But multiple developer say the monthly per-user ""bonus pool"" payouts feeding rev share totals started declining around October 2020 and have steadily dropped since. Then in Spring 2021, as part of a sudden ""reboot"" of Arcade's content strategy, Apple allegedly ""cancelled a shitload of projects and pissed off a lot of people,"" according to one unnamed source.
SPONSORED LINKS 
YOU MAY LIKE
Hackers can take over your account - This is what you can do
Kaspersky
  by Taboola 
Developers' complaint service now focuses on family-friendly games with prominent licensed IP characters attached. It is supplemented only by the occasional new addition from its 'App Store Greats' series - essentially repurposed free-to-play games with ads and in-app purchases removed.
""I got the sense they didn't really know where they were going with it all – almost like they weren't sure if they'd have jobs at the end of it,"" said one unnamed studio head who met with Apple to discuss bringing their games onto Arcade.

Devs in the dark on Arcade's direction
This strategy shift hasn't been communicated to Apple's development partners, however. One indie studio head told MobileGamer that after months of glowing feedback from Apple on one of their titles in development, Arcade reps suddenly withdrew interest, citing unspecified strategy changes. When the studio offered to alter designs and reduce budgets to better fit Arcade, they received no reply.
Other developers who've met with Apple to discuss bringing titles onto Arcade walked away confused about the platform's direction. ""I got the sense they didn't really know where they were going with it all – almost like they weren't sure if they'd have jobs at the end of it,"" one source said, while another described a feeling that Arcade had the ""smell of death"" around it.
Upfront payments to developers for new Arcade titles have also steeply declined, sources say. And with bonus pool revenue share totals dropping every month, some studios are questioning the service's future viability. ""We're going to see that amount decrease and decrease until it's pennies,"" warned one developer. ""At that point putting a game on Arcade starts to become much less viable.""
Studios say Apple reps have been vague or mysterious about how the opaque bonus pool payments are calculated, leaving developers in the dark. ""They have this metric that they call a qualifying session, and bonus pool payments are made based on that,"" a source told MobileGamer. ""But no-one knows what a qualifying session actually is.""
Netflix emerges as competitor
Some paint Apple as “vindictive” and “spiteful” on Arcade, especially toward studios who sign deals with rival Netflix. But others say Arcade has benefited mobile gaming. ""Despite its imperfections, we're very very happy the Arcade exists. It has made premium games viable on mobile,"" one developer insisted.
Rumours suggest another Arcade reboot may be imminent as Apple looks to counter Netflix's expanding gaming subscription footprint. But multiple studio heads said they feel Apple lacks genuine passion for gaming. ""At the very top there needs to be a passion and respect for games, and there just isn't,"" a source said.
Apple has been tight-lipped about the performance of its gaming subscription service, and the word around the town that there may be problems behind the scenes.
Explore Your Financial Landscape with Personalized Credit Insights.",Times Of India
Byju’s to go ahead with rights issue after NCLT defers decision on investors’ plea; but there’s a catch,"Feb 27, 2024, 21:37 IST","MUMBAI: The National Company Law Tribunal (NCLT) on Tuesday reserved its judgement on the plea filed by a few of Byju’s investors seeking the court’s intervention to declare the firm’s rights issue as void and the founders as unfit to run the company, citing oppression and mismanagement.
This essentially allows the company to go ahead with the rights issue which closes on February 28 but the company that is reeling under a cash crunch may not be able to immediately use the proceeds raised through the issue.
The NCLT, investor sources said, has observed that Byju’s board cannot increase authorised share capital on its own for the rights issue.
“The court directed that they (Byju’s) cannot complete the rights issue until they call for an EGM (extraordinary general meeting) to increase authorised capital and take shareholder approval before proceeding for rights issue. In response, Byju’s gave an undertaking to the court that they will not use the proceeds of the rights issue until the authorisation has been secured.
The company is banking on its rights issue to raise capital and meet its current liabilities. It aims to secure $200 million through the issue at a valuation of $225-$230 million, a 99% drop from its peak valuation of $22 billion.
SPONSORED LINKS 
YOU MAY LIKE
Hackers can take over your account - This is what you can do
Kaspersky
  by Taboola 
A few of the firm’s disgruntled investors including Prosus, Peak XV Partners and General Atlantic are yet to participate in the rights issue. If they don’t participate, their shareholding will get diluted. In the court, lawyers representing the investors are learnt to have argued that they have no visibility on how the funds raised through the rights issue will be used given there are so many ongoing investigations against the company.

“$533 million (the money raised as part of term loan which Byju’s Alpha allegedly transferred in an obscure hedge fund) has been siphoned off. He (Byju Raveendran) wants us to invest more money. How will we be protected? We have requested the company to provide information covering a broad range of matters. There are 13 letters we have written between the end of 2022 and end of 2023 asking for information,” the investors’ lawyers argued, adding that the company will not survive solely on the basis of the money coming in from the issue.
The NCLT has asked both the parties to provide written submissions of their arguments in three days. Byju’s has proposed to park the money raised through the rights issue in a fresh account so that it can be monitored. In a recent letter to shareholders, founder and CEO Raveendran had said that the startup will appoint a third-party agency to monitor the usage of funds raised through the issue. The NCLT petition has been signed by Prosus, General Atlantic, Sofina and Peak XV Partners along with support from other shareholders including Tiger Global and Owl Ventures. Through the petition, the investors are also seeking a forensic audit of the company and a directive to be issued to the startup against taking any corporate actions that will prejudice the rights of the investors.
Byju’s is locked in a bitter fight with its investors, majority of whom voted to oust him as the CEO and restructure the firm’s family-run board. The company claims that only 35 of 170 shareholders, representing around 45% of the shareholding voted in favour of the resolution passed at last week’s EGM. In a letter to employees, Raveendran said that he remains the CEO of the company and will challenge these “illegal and prejudicial actions.”",Times Of India
Biden tries to turn tables on Trump: 'About as old as I am',"Updated: Feb 28, 2024, 01:00 IST","President Joe Biden has come up with a new defence against claims that he is too old to run for another term: At least he knows who his wife is - as opposed to ""the other guy"". As he expands his efforts to reassure voters that he is fit for another four years, Biden took a turn on the talk show circuit, using an appearance on ""Late Night With Seth Meyers"" on NBC to poke his challenger, former President Donald Trump, on his own struggles with memory.
TOP PICKS FOR YOU
Can 'Indira's third son' really ditch the Congress for BJP?
Elon Musk raises his Microsoft complaint directly to Satya Nadella
CRPF, Haryana Police have taken away 5-6 Cong MLAs: Himachal CM

In a playful but pointed interview aired early Tuesday, Meyers sought to help the president address the age issue, which polls show is an important drawback in the minds of most voters. Meyers jokingly told the president that he had obtained classified information indicating that ""you are currently 81 years old"".
Biden went along with the joke. ""Who the hell told you that?"" he asked. ""That's classified!"" He then went on to jab Trump, who is 77, over a video in which he seems to call his wife, Melania, by another name. ""You got to take the other guy,"" Biden said. ""He's about as old as I am, but he can't remember his wife's name."" Turning serious, he added the contest is not about how old the candidates are. ""It's about how old your ideas are,"" he said. ""Look, this is a guy who wants to take us back. He wants to take us back on Roe v. Wade.""
The president has been on the defensive about his memory in recent weeks, particularly since a special counsel, in a report on Biden's handling of classified documents, explained that one reason he would not charge Biden is because he would come across to a jury as a ""well-meaning, elderly man with a poor memory"". During his interview with the special counsel, the report said, Biden could not remember key dates of his vice presidency or the year his son Beau died. Biden's defenders assailed the special counsel for mentioning that.
SPONSORED LINKS 
YOU MAY LIKE
Hackers can take over your account - This is what you can do
Kaspersky
  by Taboola 
Trump has had plenty of moments of confusion in recent weeks as well. Among other things, he has mixed up his Republican opponent Nikki Haley with former speaker Nancy Pelosi, claimed to have beaten Barack Obama in 2016 rather than Hillary Clinton and warned that the country is on the verge of WWII. The moment Biden was referring to came during a speech to the Conservative Political Action Conference in Maryland over the weekend when Trump was praising his wife and then, as the audience applauded, said, ""Oh, look at that, Mercedes - that's pretty good."" But Trump was addressing Mercedes Schlapp, a former White House adviser whose husband, Matt Schlapp, the chair of the American Conservative Union, hosts the conference, the ex-president's spokesperson said. Still, Trump has in the past misspelled Melania's name on Twitter as ""Melanie"".

Biden joined Meyers to celebrate the 10th anniversary of the late-night show, a decade after appearing on the program's debut episode in 2014 when he was vice-president. The audience was an important one for Biden, who relied on strong support among younger voters to defeat Trump in 2020.
When Meyers noted that many on the political right have embraced a bizarre conspiracy theory that he and Taylor Swift ""are working in cahoots,"" Biden playfully snapped: ""Where are you getting this information? It's classified. That's classified information."" ""But,"" he quickly added, ""I will tell you she endorsed me in 2020.""
Explore Your Financial Landscape with Personalized Credit Insights.",Times Of India
"CBSE Exam Day Guidelines 2024: Dos & Don'ts, Reporting Time, Admit Card Link and More","Updated: Feb 14, 2024, 13:16 IST","CBSE Exam Day Guidelines 2024: The Central Board of Secondary Education is set to commence the CBSE Board Exams 2024 from tomorrow, February 15 onwards. Students who are going to appear for the CBSE Class 10, 12 Exams 2024 must be eagerly anticipating the exam day, an important moment in the academic journey.
To ensure a smooth and fair conduct of the examinations, CBSE has issued comprehensive guidelines for the students.
These guidelines encompass major aspects such as exam day instructions, designated timings, and the essential items students must carry to the exam hall. In this article, let's check out the CBSE Exam Day Guidelines 2024, shedding light on the important instructions that candidates need to adhere to for a successful and stress-free CBSE board exam experience.
According to the official CBSE Date Sheet 2024, the exams for Class 10 will conclude on March 13 whereas for Class 12, the exams will end on April 2, 2024.
CBSE Exam Day Guidelines 2024
SPONSORED LINKS 
YOU MAY LIKE
Hackers can take over your account - This is what you can do
Kaspersky
  by Taboola 
Dos
Reach the exam center at least 30 minutes before the start of the exam.
Carry your admit card, school ID card, and any other documents mentioned in the admit card.
Dress modestly and comfortably.
Bring a blue or black ballpoint pen, a pencil, and an eraser.
Bring a water bottle (transparent).
Bring a watch (without a calculator).
Carefully read the instructions on the question paper.
Answer all the questions to the best of your ability.
Stay calm and focused during the exam.

Don'ts
Do not bring any electronic devices, such as mobile phones, calculators, or smartwatches, into the exam hall.
Do not bring any unauthorised study materials, such as textbooks, notes, or flashcards, into the exam hall.
Do not talk to other students during the exam.
Do not cheat or copy from other students.
Do not leave the exam hall without permission.
Do not write anything on the question paper that is not part of your answers.
Do not engage in any unfair practices.

CBSE Exam Reporting Time 2024
The CBSE Class 10, 12 Exam 2024 is scheduled to begin at 10:30 AM on all exam days, however, the end timing will be 1:30 PM for the majority of the papers while some exams will end at 12:30 PM. Therefore, students are advised to reach at their respective exam centres at least 30 to 45 minutes before the commencement of exam.
Explore Your Financial Landscape with Personalized Credit Insights.",Times Of India
The role of body image and self-esteem in the development and recovery from eating disorders,"Feb 27, 2024, 19:23 IST","Eating disorders affect an estimated 2-3% of the population worldwide, predominantly women. In fact, conditions such as anorexia nervosa, bulimia nervosa, and binge-eating disorder are not just medical terms; they are also lived experiences deeply intertwined with how individuals perceive their bodies and value themselves.
In the last few years, the term ""body image"" has woven itself into the fabric of our daily conversations, yet its profound impact on eating disorders remains underexplored.
But, can negative body image trigger these conditions? Are issues of self-worth at the core of every eating disorder?
The answers are multifaceted, reflecting the complexity of this issue. Today, we'll explore how societal acceptance, or the lack thereof, shapes our body image and self-esteem, setting the stage for a discussion on the pivotal role these factors play in both the onset and recovery from eating disorders.
We unravel the layers of this critical topic, aiming to foster understanding and compassion towards those affected.
SPONSORED LINKS 
YOU MAY LIKE
Hackers can take over your account - This is what you can do
Kaspersky
  by Taboola 
Self-esteem reflects our own valuation of ourselves. Possessing high self-esteem typically means we feel positively about our inner and outer selves. Low self-esteem can make us doubt ourselves and look for ways to improve how we feel, sometimes focusing too much on our appearance.
Body Image is how we see our physical selves and what we think about that. If we like what we see in the mirror, we have a positive body image. If we don't like what we see, our body image is negative. This doesn't just influence how we dress or carry ourselves; it deeply affects our inner world.

Eating Behavior is how we eat, which includes what, when, and why we eat. This can range from healthy, regular meals to unhealthy patterns like eating too much, too little, or in a way that doesn't give our body what it needs.
How They Connect:

Imagine your mind is a seesaw. On one side, you have self-esteem, and on the other, you have body image. When both sides are balanced, the seesaw stays level — this balance leads to healthy eating behaviors. However, if one side is too heavy (like if we have really low self-esteem or a very negative body image), the seesaw tips. This imbalance can lead us to develop unhealthy eating behaviors as a way to try to ""fix"" whatever we think is wrong.
The Science, Made Simple:

The Beginning: It may start innocently: someone feeling they're a bit overweight and decide it's time for a change. With an initial goal to lose weight, they begin to restrict their eating. This stage is crucial because it's where the seeds of an eating disorder can be sown, although the individual's intentions are to improve their health and appearance.
The Mind's Role: As the weight starts to come off, there's a noticeable boost in body image. Compliments flow in, reinforcing the behavior. This is where the mind plays a pivotal role. The positive feedback loop - weight loss leading to compliments, leading to further restriction - can alter perception. The original weight loss goal shifts; what was once enough no longer satisfies. Deviation from restrictive dietary behavior may then fuel the feeling of guilt, which may also lead them to self-induced purging. This dissatisfaction fuels a distorted self-image.
Image: Canva

The mind becomes preoccupied with controlling food intake, where eating something considered ""bad"" or missing an exercise session triggers anxiety or fear. This is a hallmark of how low self-esteem and poor body image begin to warp the individual's relationship with food and their body.
The Body's Response: Physically, the body responds to these changes in diet and exercise in several ways. Initially, weight loss might improve certain health markers, but as restriction continues, the body enters a state of stress. Nutrient deficiencies can develop due to restrictions or purging, metabolism may slow down, and physical health can deteriorate. The body, in an effort to conserve energy, can reduce the resources allocated to non-essential functions, affecting everything from hormonal balance to bone density.
The Cycle of Eating Disorders: The cycle that ensues is driven by a complex interaction between mental and physical health. The brain, fixated on controlling food and weight, can push the body further into malnutrition. This obsession with food and fear of gaining weight can lead to conditions such as anorexia nervosa, bulimia nervosa, or binge-eating disorder.
The Mental Struggle: Psychologically, the person becomes trapped in a cycle of negative self-talk, where their self-worth is intrinsically linked to their body image and ability to control their eating. This cycle is self-perpetuating; the more the individual strives to control their diet to improve their self-esteem and body image, the more entrenched the eating disorder becomes. Anxiety, depression, and isolation can follow, making recovery more challenging.
Struggling to meditate? This guru reveals powerful techniques for true inner peace

Breaking the Cycle

Recovery involves addressing both the mental and physical aspects of the disorder. It's about relearning healthy eating habits, yes, but also about rebuilding self-esteem and developing a positive body image that isn't tied to weight or food. Psychotherapy, nutritional counseling, and support groups are often key components of a successful recovery strategy.
Psychotherapy: Some therapies such as cognitive-behavioral therapy (CBT), dialectical behavior therapy (DBT), Interpersonal Psychotherapy (IPT) or Existential therapy, are central to treating eating disorders. It helps individuals identify and challenge negative thought patterns and behaviors related to their eating habits, body image, and self-esteem.
Through therapy, patients learn coping strategies to manage distressing emotions and thoughts without resorting to unhealthy eating behaviors.
Nutritional Counseling: Nutritional counseling is provided by dietitians specialized in eating disorders. It aims to restore healthy eating patterns and address misconceptions about food and diet. Nutritional counseling educates individuals on the importance of balanced nutrition and helps them develop a peaceful relationship with food.
It involves creating personalized meal plans that ensure the body receives the nutrients it needs for recovery, while also respecting the patient's likes and dislikes, gradually reintroducing feared foods, and teaching portion control.
Embracing self-compassion, limiting social media, engaging in physical activity, surrounding yourself with positivity, and challenging negative thoughts are crucial steps towards improving self-esteem and body image.
These strategies not only foster a healthier relationship with food but also pave the way for a fulfilling, balanced life. Remember, the journey to self-love and acceptance is ongoing, filled with small yet significant victories.
(Dr. Ankur Rawat, Lead - Mental Wellbeing Services, HCL Healthcare)",Times Of India
Mahindra Thar Earth Edition launched at Rs 15.4 lakh: What’s different,"Feb 27, 2024, 19:30 IST","Mahindra & Mahindra today announced the launch of Mahindra Thar Earth Edition. Mahindra says that the Thar Earth edition is inspired by the Thar Desert and the SUV features a Desert Fury satin matte paint scheme. Thar Earth Edition will be available in four variants in the LX Hard Top 4x4 guise, with prices starting at Rs 15.40 lakh and going up to Rs 17.60 lakh (both prices ex-showroom).
TOP PICKS FOR YOU
Can 'Indira's third son' really ditch the Congress for BJP?
Elon Musk raises his Microsoft complaint directly to Satya Nadella
CRPF, Haryana Police have taken away 5-6 Cong MLAs: Himachal CM


In terms of design, the Thar Desert edition looks the same as the regular Thar but features exclusive Desert Fury satin matte paint with dune-inspired decals on the rear fender and doors, Earth Edition badging on the B-pillars, matte black badges, and 17-inch silver alloy wheels.

SPONSORED LINKS 
YOU MAY LIKE
Hackers can take over your account - This is what you can do
Kaspersky
  by Taboola 
Moving inside, the SUV gets a dual-tone theme of black and light beige layout with dune designs on the headrests, Thar branding on the doors, and dark chrome accents all around. Additionally, it gets Desert Fury-coloured inserts for the AC vents, centre console, and steering wheel. Mahindra also said that each unit will get a unique numbered decorative VIN plate. Customers can also opt for accessories such as customised front and rear armrests, floor mats, and a comfort kit.
Zeiss Drive Safe lenses review Making night driving safer| TOI Auto

The Thar Earth Edition will be available in both petrol and diesel engine options. A 2.2-litre, four-cylinder, turbocharged diesel engine which puts out 130PS and 300Nm of torque and a 2.0-litre, turbo-petrol engine which puts out 150PS and 320Nm. Both engine options come paired with a six-speed manual or a six-speed torque converter automatic transmission.
Explore Your Financial Landscape with Personalized Credit Insights.",Times Of India
New UPSC rule for photo on application form to tackle AI-morphed photo frauds,"Feb 27, 2024, 20:02 IST","NEW DELHI: The Union Public Service Commission (UPSC) has started the registration process for UPSC CSE Prelims 2024 this week for the Prelims scheduled in May. The Commission has introduced stricter rules for uploading photographs on the registration forms. As per the new guidelines, the UPSC has asked the candidates to upload photographs not older than 10 days from the start of the online application process.
TOP PICKS FOR YOU
Can 'Indira's third son' really ditch the Congress for BJP?
Elon Musk raises his Microsoft complaint directly to Satya Nadella
CRPF, Haryana Police have taken away 5-6 Cong MLAs: Himachal CM
Therefore, candidates will have to make sure that the photographs are not taken before February 4, 2024.
While the rule has baffled the aspirants and a few have dubbed it is an unnecessarily long and expensive process, experts claim it will control misuse of technology and other related frauds during the exams. In Rajasthan and Uttar Pradesh, several cases have been registered by the state against candidates for impersonation and technology-related crimes.
Retired senior IAS officer JK Dadoo says this initiative will control misuse of new technologies like Artificial Intelligence (AI). With AI, there is a possibility to morph photographs and documents, which can pose serious challenges in the public examination. “It is difficult to distinguish between photographs of candidates on different forms and also match them against the candidates appearing in the exam. New technology and AI can easily morph photographs and documents. With the new UPSC guidelines, identification-related issue will get largely resolved,” says Dadoo.
“Several cases have come to the fore where candidates juxtaposed their photographs. With technologies like AI and deepfake, the challenges are rising each day. Identity issues are a major problem the Commission is facing. As per the new instructions, the candidate must upload a photo clicked within 10 days from the start of the online application process. This will make it difficult for the candidates to fudge the application data. The new process may pinch pockets, especially of aspirants from rural areas, but it will ensure the identity is correct, easing the future procedure,” adds Dadoo.
SPONSORED LINKS 
YOU MAY LIKE
Hackers can take over your account - This is what you can do
Kaspersky
  by Taboola 
UPSC and state PSCs have received multiple complaints of impersonation where the photo of the person in the admit card and the one appearing for the exam were different. “Often, the admit card has the younger brother’s photo while the older brother appears for the exam. The recent instructions will just eliminate such possibilities,” says Dadoo.
Ease of doing business

Senior IAS Rajesh Kumar Pathak, secretary, Technology Development Board, Department of Science and Technology, says, “The new initiative will just ease the process of doing business. It will also help in crosschecking the age and appearances of the candidate as very often they upload older photos. On numerous occasions, it becomes a challenge during the Personality Test, when the interviewers find little or no resemblance of the candidate with the photo he has uploaded during the registration, raising doubts among examiners.”

“The new system comes with a bit of challenge for the candidates, but it will increase transparency and control impersonation. Through the new system, the candidates will also not face any issues at any level during the exam. The aspirants from rural areas are not likely to face difficulty as all facilities are available in every nook and corner,” says Pathak.
The Commission said that the name of the candidate and the date on which the photograph was taken must also be mentioned clearly on the photograph. The faces of the candidates should also occupy three-fourths of the space in the photograph, the official notification said.
The Commission has also asked the candidates to make sure that their appearance matches their photograph at each stage of the examination process – Preliminary, Mains (written) and Interview or Personality test. For instance, if a candidate uploads a bearded photograph, he must appear with the same look in the Preliminary, Mains (Written) and Interview/Personality Test. Same would be the case with spectacles, moustaches, etc.
Candidates who wish to apply for the Civil Service Examination=Preliminary 2024 for about 1,056 vacant posts, can visit the official website at upsc.gov.in and submit the application form. Candidates scoring above the cut-off marks in CSE prelims will become eligible to register for the main examination. The mains will be descriptive and will be conducted from September 20 for five days.
Explore Your Financial Landscape with Personalized Credit Insights.",Times Of India
